#id	length	multiplicity	difficulty	isBoxEntrance
1 130 1 1 f
2 130 1 1 f
3 130 1 1 f
4 130 1 1 f
5 130 1 1 f
1 130 1 1 f
7 130 1 1 f
8 130 1 1 f
9 48 1 8 f
10 50 1 1 f
11 80 1 3 f
12 85 1 3 f
13 110 1 1 f
14 110 1 1 f
15 190 5 1 f
11 200 5 1 f
17 100 1 1 f
18 100 1 1 f
19 100 1 1 f
20 100 1 1 f
21 47 1 8 f
22 43 1 1 f
23 140 1 1 f
24 140 1 1 f
25 120 1 1 f
21 240 1 1 f
27 81 1 1 f
28 137 5 1 f
29 138 5 1 f
30 137 5 1 f
31 138 5 1 f
32 112 1 1 f
33 113 1 1 f
34 112 1 1 f
35 113 1 1 f
31 78 1 1 f
37 100 1 5 f
38 88 1 1 f
39 150 1 1 f
40 150 1 1 f
41 150 1 1 f
42 150 1 1 f
43 150 1 1 f
44 150 1 1 f
45 170 1 1 f
41 150 1 1 f
47 150 1 1 f
48 120 1 1 t
